permalink,name,category_list,status,country_code,founded_at,company_permalink,funding_round_type,funded_at,raised_amount_usd,main_sector
madbid-com,MadBid.com,E-Commerce,operating,GBR,09-08-2008,madbid-com,venture,23-07-2010,6161968.0,Others
made-com,made.com,Design,operating,GBR,01-01-2010,made-com,venture,10-01-2012,9278918.0,Automotive & Sports
magma-global,Magma Global,Manufacturing,operating,GBR,01-01-2009,magma-global,venture,09-01-2013,14032336.0,Manufacturing
manomasa,Manomasa,Manufacturing,operating,GBR,01-01-2012,manomasa,venture,23-02-2014,5303380.0,Manufacturing
maplin-electronics,Maplin Electronics,Consumer Electronics,acquired,GBR,01-01-1972,maplin-electronics,venture,13-10-2014,8039920.0,Manufacturing
marcandi,Marcandi,E-Commerce,operating,GBR,01-01-2008,marcandi,venture,26-07-2010,6190000.0,Others
marine-current-turbines,Marine Current Turbines,Clean Technology,operating,GBR,,marine-current-turbines,venture,22-12-2009,5596159.0,Cleantech / Semiconductors
marketinvoice,MarketInvoice,Finance,operating,GBR,01-01-2011,marketinvoice,venture,17-09-2015,7709624.0,"Social, Finance, Analytics, Advertising"
marketinvoice,MarketInvoice,Finance,operating,GBR,01-01-2011,marketinvoice,venture,03-12-2014,7843383.0,"Social, Finance, Analytics, Advertising"
marketinvoice,MarketInvoice,Finance,operating,GBR,01-01-2011,marketinvoice,venture,16-08-2015,10000000.0,"Social, Finance, Analytics, Advertising"
mawell,Mawell,Information Technology,operating,GBR,,mawell,venture,12-09-2007,11075781.0,"Social, Finance, Analytics, Advertising"
medaphor,MedaPhor,EdTech,operating,GBR,01-01-2004,medaphor,venture,19-08-2014,7859531.0,Others
medicanimal-com,MedicAnimal.com,Pets,operating,GBR,01-10-2007,medicanimal-com,venture,01-10-2010,7910327.0,Health
medikidz,Medikidz,Education,operating,GBR,01-01-2009,medikidz,venture,11-05-2014,5055753.0,Others
memrise,Memrise,Consumers,operating,GBR,10-09-2010,memrise,venture,07-12-2012,5100000.0,"Social, Finance, Analytics, Advertising"
menlook,Menlook,Consumer Goods,operating,GBR,01-01-2010,menlook,venture,01-05-2012,7410642.0,Manufacturing
metail,Metail,Customer Service,operating,GBR,01-01-2008,metail,venture,17-10-2014,12000000.0,"Social, Finance, Analytics, Advertising"
mfuse,Mfuse,Mobile,acquired,GBR,,mfuse,venture,22-02-2006,6490000.0,"News, Search and Messaging"
mgb-biopharma,MGB Biopharma,Biotechnology,operating,GBR,,mgb-biopharma,venture,17-09-2014,6400000.0,Cleantech / Semiconductors
microcosm-communications,Microcosm Communications,Communications Infrastructure,operating,GBR,01-01-1996,microcosm-communications,venture,15-07-1999,6500000.0,Manufacturing
microsaic,Microsaic,Analytics,operating,GBR,,microsaic,venture,28-05-2013,6515581.0,"Social, Finance, Analytics, Advertising"
midatech,Midatech,Manufacturing,operating,GBR,01-01-2000,midatech,venture,05-01-2012,9778240.0,Manufacturing
million,Million-2-1,Mobile,acquired,GBR,,million,venture,11-05-2006,5650000.0,"News, Search and Messaging"
mind-candy,Mind Candy,Games,operating,GBR,01-01-2003,mind-candy,venture,01-06-2011,10000000.0,Entertainment
mind-candy,Mind Candy,Games,operating,GBR,01-01-2003,mind-candy,venture,23-11-2006,10860000.0,Entertainment
mindshapes,Mindshapes,Apps,operating,GBR,01-01-2010,mindshapes,venture,01-11-2011,5000000.0,"News, Search and Messaging"
mirriad,Mirriad,Advertising,operating,GBR,01-01-2008,mirriad,venture,13-03-2013,5457478.0,"Social, Finance, Analytics, Advertising"
mission-therapeutics,MISSION Therapeutics,Biotechnology,operating,GBR,01-01-2011,mission-therapeutics,venture,25-08-2011,10000000.0,Cleantech / Semiconductors
mmic-solutions,MMIC Solutions,Semiconductors,operating,GBR,21-07-2005,mmic-solutions,venture,30-05-2008,5250000.0,Cleantech / Semiconductors
mobango,Mobango,Games,operating,GBR,01-01-2006,mobango,venture,31-03-2008,5700000.0,Entertainment
moda-in-pelle,Moda in Pelle,Retail,operating,GBR,01-01-1975,moda-in-pelle,venture,17-10-2014,5613247.0,"Social, Finance, Analytics, Advertising"
molecular-products-group,Molecular Products Group,Health Care,operating,GBR,01-01-1924,molecular-products-group,venture,23-09-2014,6533492.0,Health
mono-consultants,Mono Consultants,Mobile,operating,GBR,01-01-1997,mono-consultants,venture,28-02-2014,10606760.0,"News, Search and Messaging"
moo,MOO.COM,Business Services,operating,GBR,01-01-2004,moo,venture,01-04-2006,5000000.0,"Social, Finance, Analytics, Advertising"
move-guides,MOVE Guides,Enterprise Software,operating,GBR,01-09-2011,move-guides,venture,09-10-2014,8199999.0,Others
movirtu,Movirtu,Audio,acquired,GBR,01-01-2008,movirtu,venture,11-11-2010,5500000.0,Entertainment
mtem-limited,MTEM Limited,Energy Management,acquired,GBR,,mtem-limited,venture,16-09-2004,13234657.0,Cleantech / Semiconductors
mtivity,Mtivity,Enterprise Software,operating,GBR,01-01-1999,mtivity,venture,23-07-2007,7080000.0,Others
mubi,MUBI,Entertainment,operating,GBR,14-02-2007,mubi,venture,05-01-2015,15000000.0,Entertainment
mubi,MUBI,Entertainment,operating,GBR,14-02-2007,mubi,venture,23-10-2013,5095630.0,Entertainment
musixmatch,Musixmatch,Apps,operating,GBR,21-01-2010,musixmatch,venture,02-09-2014,5000000.0,"News, Search and Messaging"
muzicall,Muzicall,Mobile,operating,GBR,01-01-2004,muzicall,venture,13-11-2009,13381200.0,"News, Search and Messaging"
my-wardrobe-com,My-wardrobe.com,Fashion,operating,GBR,01-04-2006,my-wardrobe-com,venture,05-07-2010,9000000.0,Entertainment
myalert,AlertMe,Clean Technology,acquired,GBR,01-04-2006,myalert,venture,11-06-2009,13000000.0,Cleantech / Semiconductors
mydeco,mydeco,3D,acquired,GBR,01-02-2007,mydeco,venture,01-08-2008,14529275.0,Manufacturing
myoptique-group,MyOptique Group,E-Commerce,operating,GBR,01-01-2005,myoptique-group,venture,16-12-2013,13038376.0,Others
myoptique-group,MyOptique Group,E-Commerce,operating,GBR,01-01-2005,myoptique-group,venture,21-04-2009,14656237.0,Others
mysupermarket,mySupermarket,Curated Web,operating,GBR,01-01-2006,mysupermarket,venture,13-10-2010,7400000.0,"News, Search and Messaging"
mysupermarket,mySupermarket,Curated Web,operating,GBR,01-01-2006,mysupermarket,venture,08-05-2007,6000000.0,"News, Search and Messaging"
mysupermarket,mySupermarket,Curated Web,operating,GBR,01-01-2006,mysupermarket,venture,19-04-2012,10000000.0,"News, Search and Messaging"
mythings,myThings,Accounting,operating,GBR,01-01-2005,mythings,venture,20-03-2012,15000000.0,"Social, Finance, Analytics, Advertising"
mythings,myThings,Accounting,operating,GBR,01-01-2005,mythings,venture,01-04-2006,8000000.0,"Social, Finance, Analytics, Advertising"
mythings,myThings,Accounting,operating,GBR,01-01-2005,mythings,venture,23-11-2010,6000000.0,"Social, Finance, Analytics, Advertising"
mythings,myThings,Accounting,operating,GBR,01-01-2005,mythings,venture,14-10-2008,5000000.0,"Social, Finance, Analytics, Advertising"
naked-wines,Naked Wines,Curated Web,operating,GBR,01-01-2008,naked-wines,venture,22-08-2013,10000000.0,"News, Search and Messaging"
